description lddt
churro_9x25GB28GB_2_works_d7_0836_22.69_-3.07_-2.15_100.28_42.27_196.04_28_cl1_hb_0002_hbfilt_min_designed_1_filt 0.9173388481140137
churro_9x25GB28GB_2_works_d7_0836_22.69_-3.07_-2.15_100.28_42.27_196.04_28_cl1_hb_0002_hbfilt_min_designed_4_filt 0.9133808016777039
churro_9x25GB28GB_2_works_d7_0882_22.69_-3.07_-1.54_100.28_42.27_107.88_28_cl1_hb_0009_hbfilt_min_designed_4_filt 0.927588939666748
churro_9x25GB28GB_2_works_d7_0912_22.69_-3.07_-1.23_100.28_42.27_107.88_28_cl1_hb_0011_hbfilt_min_designed_4_filt 0.9176964163780212
churro_9x25GB28GB_2_works_d7_0912_22.69_-3.07_-1.23_100.28_42.27_107.88_28_cl1_hb_0012_hbfilt_min_designed_0_filt 0.9132099151611328
churro_9x25GB28GB_2_works_d7_1064_22.69_0.36_-2.00_100.28_42.27_107.88_28_cl1_hb_0020_hbfilt_min_designed_3_filt 0.910219132900238
churro_9x25GB28GB_2_works_d7_1073_22.69_0.36_-2.00_100.28_45.35_240.12_28_cl1_hb_0006_hbfilt_min_designed_1_filt 0.9275269508361816
churro_9x25GB28GB_2_works_d7_1123_22.69_0.36_-1.38_100.28_45.35_151.96_28_cl2_hb_0050_hbfilt_min_designed_2_filt 0.9265196919441223
churro_9x25GB28GB_2_works_d7_1157_22.69_2.07_-2.31_100.28_42.27_63.80_28_cl2_hb_0002_hbfilt_min_designed_3_filt 0.9328440427780151
churro_9x25GB28GB_2_works_d7_1224_22.69_2.07_-1.54_100.28_45.35_63.80_28_cl1_hb_0040_hbfilt_min_designed_0_filt 0.9158198833465576
churro_9x25GB28GB_2_works_d7_1224_22.69_2.07_-1.54_100.28_45.35_63.80_28_cl1_hb_0040_hbfilt_min_designed_1_filt 0.9241805076599121
churro_9x25GB28GB_2_works_d7_1500_23.08_-3.07_-1.38_100.28_42.27_107.88_28_cl1_hb_0003_hbfilt_min_designed_1_filt 0.9181987047195435
churro_9x25GB28GB_2_works_d7_1502_23.08_-3.07_-1.38_100.28_45.35_151.96_28_cl2_hb_0023_hbfilt_min_designed_0_filt 0.9287593364715576
churro_9x25GB28GB_2_works_d7_1578_23.08_-1.36_-2.00_100.28_42.27_19.71_28_cl1_hb_0020_hbfilt_min_designed_3_filt 0.9149090647697449
churro_9x25GB28GB_2_works_d7_1578_23.08_-1.36_-2.00_100.28_42.27_19.71_28_cl1_hb_0020_hbfilt_min_designed_4_filt 0.9183320999145508
churro_9x25GB28GB_2_works_d7_1578_23.08_-1.36_-2.00_100.28_42.27_19.71_28_cl1_hb_0029_hbfilt_min_designed_2_filt 0.9100669026374817
churro_9x25GB28GB_2_works_d7_1578_23.08_-1.36_-2.00_100.28_42.27_19.71_28_cl1_hb_0039_hbfilt_min_designed_3_filt 0.8881785273551941
churro_9x25GB28GB_2_works_d7_1585_23.08_-1.36_-1.85_100.28_42.27_19.71_28_cl1_hb_0017_hbfilt_min_designed_2_filt 0.9172998070716858
churro_9x25GB28GB_2_works_d7_1585_23.08_-1.36_-1.85_100.28_42.27_19.71_28_cl1_hb_0045_hbfilt_min_designed_2_filt 0.9161076545715332
churro_9x25GB28GB_2_works_d7_1709_23.08_0.36_-2.15_100.28_45.35_107.88_28_cl1_hb_0013_hbfilt_min_designed_4_filt 0.9109964370727539
churro_9x25GB28GB_2_works_d7_1916_23.08_2.07_-1.38_100.28_45.35_63.80_28_cl1_hb_0019_hbfilt_min_designed_1_filt 0.9196562170982361
churro_9x25GB28GB_2_works_d7_1925_23.08_2.07_-1.23_100.28_42.27_63.80_28_cl1_hb_0010_hbfilt_min_designed_3_filt 0.9260668754577637
churro_9x25GB28GB_2_works_d7_2156_23.46_-3.07_-1.23_100.28_42.27_19.71_28_cl1_hb_0024_hbfilt_min_designed_0_filt 0.9245067238807678
churro_9x25GB28GB_2_works_d7_2203_23.46_-1.36_-2.46_100.28_42.27_151.96_28_cl2_hb_0009_hbfilt_min_designed_1_filt 0.9307454228401184
churro_9x25GB28GB_2_works_d7_2229_23.46_-1.36_-2.15_100.28_42.27_240.12_28_cl1_hb_0002_hbfilt_min_designed_2_filt 0.9219822883605957
churro_9x25GB28GB_2_works_d7_2256_23.46_-1.36_-1.85_100.28_42.27_196.04_28_cl1_hb_0021_hbfilt_min_designed_3_filt 0.9103119373321533
churro_9x25GB28GB_2_works_d7_2256_23.46_-1.36_-1.85_100.28_42.27_196.04_28_cl1_hb_0056_hbfilt_min_designed_0_filt 0.911310076713562
churro_9x25GB28GB_2_works_d7_2274_23.46_-1.36_-1.54_100.28_42.27_19.71_28_cl1_hb_0009_hbfilt_min_designed_2_filt 0.9112388491630554
